Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Tom,Vladimir Guerrero(TOR),59,Austin Riley(ATL),61,Kyle Tucker(HOU),62,182,Eugenio Suarez(SEA),51,Tyler O'Neill(STL),30
Chris,Mookie Betts(LAD),50,Freddie Freeman(LAD),60,Paul Goldschmidt(STL),72,182,George Springer(TOR),42,̶B̶r̶y̶c̶e̶ ̶H̶a̶r̶p̶e̶r(̶P̶H̶I),̶4̶8
Rob,Pete Alonso(NYM),78,Jose Ramirez(CLE),76,Franmil Reyes(CLE),26,180,Jared Walsh(LAA),41,Eloy Jimenez(CWS),13
Zee,Trea Turner(LAD),68,Luis Robert(CWS),54,Shohei Ohtani(LAA),56,178,̶J̶u̶a̶n̶ ̶S̶o̶t̶o(̶W̶S̶H),̶4̶3,̶M̶i̶k̶e̶ ̶T̶r̶o̶u̶t(̶L̶A̶A),̶5̶1
Gregg,Manny Machado(SD),51,Nolan Arenado(STL),59,Giancarlo Stanton(NYY),61,171,Bo Bichette(TOR),52,Josh Bell(WSH),50
Efran,Jorge Polanco(MIN),48,Nick Castellanos(PHI),46,Aaron Judge(NYY),77,171,̶T̶e̶o̶s̶c̶a̶r̶ ̶H̶e̶r̶n̶a̶n̶d̶e̶z(̶T̶O̶R),̶4̶5,Jesus Aguilar(MIA),37
Wie,Jose Abreu(CWS),47,Yordan Alvarez(HOU),65,Marcell Ozuna(ATL),38,150,̶O̶z̶z̶i̶e̶ ̶A̶l̶b̶i̶e̶s(̶A̶T̶L),̶3̶3,Javier Baez(DET),35
Randy,Rafael Devers(BOS),55,Xander Bogaerts(BOS),37,Rhys Hoskins(PHI),44,136,Alex Bregman(HOU),49,Matt Chapman(TOR),49
Kevin,Matt Olson(ATL),62,J.D. Martinez(BOS),38,Carlos Correa(MIN),33,133,̶J̶o̶e̶y̶ ̶G̶a̶l̶l̶o(̶N̶Y̶Y),̶2̶4,Max Muncy(LAD),30
Brett,Salvador Perez(KC),34,Adam Duvall(ATL),36,Joey Votto(CIN),31,101,Mitch Haniger(SEA),7,Austin Meadows(DET),11
