Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Tom,Adolis García(TEX),75,Kyle Tucker(HOU),56,Shohei Ohtani(ANA),71,̶J̶o̶s̶é̶ ̶R̶a̶m̶í̶r̶e̶z(̶C̶L̶E),̶5̶3,Mookie Betts(LA),62,202
Gregg,Teoscar Hernández(SEA),50,Rafael Devers(BOS),70,Freddie Freeman(LA),61,̶A̶a̶r̶o̶n̶ ̶J̶u̶d̶g̶e(̶N̶Y̶Y),̶4̶0,José Abreu(HOU),45,181
Efrain,Vladimir Guerrero Jr.(TOR),58,Francisco Lindor(NYM),60,Juan Soto(SD),47,Xander Bogaerts(SD),35,Gleyber Torres(NYY),36,165
Brett,Paul Goldschmidt(STL),46,Yordan Alvarez(HOU),55,Alex Bregman(HOU),56,Bo Bichette(TOR),52,Trea Turner(PHI),32,157
Zee,Pete Alonso(NYM),61,Austin Riley(ATL),44,Mike Trout(ANA),44,Eloy Jiménez(CWS),40,Randy Arozarena(TB),58,149
Angelo,Nolan Arenado(STL),62,Kyle Schwarber(PHI),49,Dansby Swanson(CHC),36,Charlie Blackmon(COL),26,Trayce Thompson(LA),14,147
Wie,Matt Olson(ATL),72,Manny Machado(SD),44,C.J. Cron(COL),23,Giancarlo Stanton(NYY),23,Adam Duvall(BOS),23,139
